ID,SMILES,mw,Group,SA,_nn_tanimoto,scaffold
EN300-1515023,O=C(O)CN(CC1CC1)C(=O)CSCCNC(=O)OCC1c2ccccc2-c2ccccc21,468.57,Comprehensive,2.5798600306681685,0.847457627118644,O=C(CSCCNC(=O)OCC1c2ccccc2-c2ccccc21)NCC1CC1
EN300-1516203,O=C(O)CC1CN(C(=O)C2CCC(NC(=O)OCC3c4ccccc4-c4ccccc43)CC2)C1,462.54,Comprehensive,2.50198949844998,1.0,O=C(NC1CCC(C(=O)N2CCC2)CC1)OCC1c2ccccc2-c2ccccc21
EN300-1700497,O=C(OCC1c2ccccc2-c2ccccc21)N1CCC(CC(F)(F)C(=O)O)CC1,415.43,Comprehensive,2.558153127760816,0.8,O=C(OCC1c2ccccc2-c2ccccc21)N1CCCCC1
EN300-1511655,O=C(Nc1ccc(CC(=O)N2CSC[C@H]2C(=O)O)nc1)OCC1c2ccccc2-c2ccccc21,489.55,Comprehensive,3.0899360979127986,0.765625,O=C(Nc1ccc(CC(=O)N2CCSC2)nc1)OCC1c2ccccc2-c2ccccc21
EN300-1505494,CC(CC(=O)N1CC(C)(OCC(=O)O)C1)NC(=O)OCC1c2ccccc2-c2ccccc21,452.5,Comprehensive,3.240823380531525,1.0,O=C(NCCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
EN300-1558903,O=C(O)CN(C(=O)CC1CC(NC(=O)OCC2c3ccccc3-c3ccccc32)C1)C1CC1,448.51,Comprehensive,2.613311020584224,0.8392857142857143,O=C(CC1CC(NC(=O)OCC2c3ccccc3-c3ccccc32)C1)NC1CC1
EN300-26572611,Cc1ccc(OCCNC(=O)OCC2c3ccccc3-c3ccccc32)cc1C(=O)O,417.45,Comprehensive,2.207905086489175,0.7818181818181819,O=C(NCCOc1ccccc1)OCC1c2ccccc2-c2ccccc21
EN300-1502315,CN(CC(=O)O)C(=O)C1(CNC(=O)OCC2c3ccccc3-c3ccccc32)CC1,408.45,Comprehensive,2.606005900870059,0.8269230769230769,O=C(NCC1CC1)OCC1c2ccccc2-c2ccccc21
EN300-372335,O=C(NCC12CC(C(=O)O)(C1)C2)OCc1ccccc1,275.3,Comprehensive,3.045261588639642,0.8205128205128205,O=C(NCC12CC(C1)C2)OCc1ccccc1
EN300-35109723,Cc1nc(CNC(=O)OCc2ccccc2)nc(C)c1C(=O)O,315.32,Comprehensive,2.161216455666141,0.7021276595744681,O=C(NCc1ncccn1)OCc1ccccc1
EN300-1474090,O=C(O)C[C@@H]1CCCN1C(=O)CSCCNC(=O)OCC1c2ccccc2-c2ccccc21,468.57,Comprehensive,2.972705411864037,1.0,O=C(NCCSCC(=O)N1CCCC1)OCC1c2ccccc2-c2ccccc21
EN300-1518211,CC(C)(CCNC(=O)OCC1c2ccccc2-c2ccccc21)CCC(=O)N1CC(CC(=O)O)C1,478.58,Comprehensive,2.664896637357618,0.8135593220338984,O=C(NCCCCCC(=O)N1CCC1)OCC1c2ccccc2-c2ccccc21
