ID,SMILES,mw,Group,SA
EN300-221518,OCCCI,185.99,Comprehensive,3.0906058970812627
EN300-20000,OCCCCCl,108.57,Comprehensive,2.206230548286161
EN300-85130,OCCCCCCCCCl,164.67,Comprehensive,1.95042321282936
EN300-182604,OCCOCCOCCBr,213.07,Comprehensive,2.5103418941480413
EN300-97571,OCCCCCCCl,136.62,Comprehensive,2.029999239405827
EN300-23312090,OCCOCCOCCI,260.07,Comprehensive,2.6787358501919964
EN300-768502,OC1CCN(CCCBr)CC1,222.12,Comprehensive,2.2275422717811004
EN300-768496,OCCN1CCN(CCCBr)CC1,251.16,Comprehensive,2.101298793667869
EN300-2009657,OCc1cc(CCl)no1,147.56,Comprehensive,2.8084107764563253
EN300-22991136,OCCCCOCCCOCCCCCl,238.75,Comprehensive,2.2428762315051696
EN300-85285,OCCCCCCCCBr,209.12,Comprehensive,2.029197938104085
EN300-6490216,O[C@H]1C[C@@H](Br)C1,151.0,Comprehensive,3.1755028559784684
EN300-216349,OC[C@H]1C[C@H]1Br,151.0,Comprehensive,3.7724307471287695
EN300-7456499,O=S(=O)(CCBr)CCCO,231.11,Comprehensive,2.906276467267229
EN300-121398,OCC1(CBr)CC1,165.03,Comprehensive,3.0508158942163863
EN300-2972596,OC1CCC(CI)CC1,240.08,Comprehensive,2.7727984687640195
EN300-7488184,CN(CC(=O)N1CCC(O)CC1)C(=O)CCl,248.71,Comprehensive,2.344911623827759
EN300-226608,CC(O)CCCBr,167.04,Comprehensive,3.0424881959049754
EN300-6731579,CC(Br)CCCO,167.04,Comprehensive,3.1514497343665138
EN300-52467,OCCOCCCl,124.57,Comprehensive,2.426668930653632
EN300-6210452,OCCCCCI,214.04,Comprehensive,2.489406582475496
EN300-255946,OC1CC(CBr)C1,165.03,Comprehensive,2.9474082019086936
EN300-7463171,O=S(=O)(CCO)CCBr,217.08,Comprehensive,3.0998099470248883
EN300-315363,OCC1CC(Cl)C1,120.58,Comprehensive,2.773508201908694
EN300-27694902,OCCCCOCCI,244.07,Comprehensive,2.590322776456325
EN300-57109,OCCCCCCl,122.59,Comprehensive,2.1004608334876416
EN300-134537,OCCOCCOCCCl,168.62,Comprehensive,2.3771715644777096
EN300-196483,OCc1cccc(CBr)n1,202.05,Comprehensive,2.4560204655766125
EN300-841403,OCc1ccc(CBr)cc1,201.06,Comprehensive,1.7762929930491396
EN300-43359156,OCC(CBr)C(F)(F)F,206.99,Comprehensive,3.598652057165894
EN300-313043,OCc1ccc(F)c(CBr)c1,219.05,Comprehensive,2.126924951681845
EN300-257374,OCCCCOCCCCCl,180.67,Comprehensive,2.14556857451063
EN300-298653,OCCOCCI,216.02,Comprehensive,2.8710794569694222
EN300-57108,OCCCCBr,153.02,Comprehensive,2.344086317516931
EN300-22342,OCCCCl,94.54,Comprehensive,2.607588145601973
EN300-7463738,OCCOCCOCCOCCCl,212.67,Comprehensive,2.390084656453734
EN300-715899,OCc1ccc(-c2cncc(CCl)c2)cc1,233.69,Comprehensive,1.9681170372212424
EN300-1698924,OCc1ccccc1CCCl,170.64,Comprehensive,1.9776638598704304
EN300-175246,CC(O)CCCCl,122.59,Comprehensive,2.896280503597284
EN300-33252291,OCC1CC(CBr)C1,179.05,Comprehensive,2.9682380006445896
EN300-7634620,OCc1cccc(CCl)c1,156.61,Comprehensive,1.80786222381837
EN300-53338920,OCC12CC(CBr)(C1)C2,191.07,Comprehensive,4.367418640850775
EN300-116457,OCCOCCBr,169.02,Comprehensive,2.622919942799381
EN300-37347663,O[C@H]1C[C@H](I)C1,198.0,Comprehensive,3.5385859329015457
EN300-7591080,CC(O)COCCCl,138.59,Comprehensive,3.0853125001353776
EN300-7016274,OCCCOCCCCl,152.62,Comprehensive,2.2746193918409414
EN300-6744059,OCC1CC(Br)C1,165.03,Comprehensive,2.99349281729331
EN300-7540671,OC1CC(I)C1,198.0,Comprehensive,3.5385859329015457
EN300-51846060,CC1(CBr)CC(O)C1,179.05,Comprehensive,3.334591407237996
EN300-172812,CC(O)CCCl,108.57,Comprehensive,3.173144388436289
EN300-254257,O[C@H]1C[C@H](Br)C1,151.0,Comprehensive,3.1755028559784684
EN300-2972599,OC1CCC(CBr)CC1,193.08,Comprehensive,2.5530156995332494
EN300-244160,CC(Cl)CCO,108.57,Comprehensive,3.23425208074398
EN300-26982118,OC1CC(CCBr)C1,179.05,Comprehensive,2.8852929456995344
EN300-7697178,OCCCc1nc(CCl)cs1,191.68,Comprehensive,2.4841918995726644
EN300-7657391,Cl.OCc1nc(CCl)cs1,200.09,Comprehensive,2.8335202542494784
EN300-57110,OCCCCCBr,167.04,Comprehensive,2.2165499023135524
EN300-45684316,O[C@H]1C[C@H](CCBr)C1,179.05,Comprehensive,2.8852929456995344
EN300-2980191,OC1CCC(Br)CC1,179.05,Comprehensive,2.7791202184268062
EN300-246314,CC(Cl)CCCO,122.59,Comprehensive,3.0153497343665148
EN300-768504,OCC1CCN(CCCBr)CC1,236.15,Comprehensive,2.213036584032272
EN300-7545089,OCCCOCCOCCCCl,196.67,Comprehensive,2.3015297967019563
EN300-7002058,CC(Br)CCO,151.98,Comprehensive,3.3787320807439816
EN300-67396,OCCCBr,138.99,Comprehensive,2.7725171396848136
EN300-37440885,O[C@H]1CC[C@H](CBr)CC1,193.08,Comprehensive,2.5530156995332494
EN300-1250516,OCCCCI,200.02,Comprehensive,2.6681036252092394
EN300-52122236,OC1CC2(CCC(Br)CC2)C1,219.12,Comprehensive,3.725560330293512
EN300-37355933,OC1CC(F)(CBr)C1,183.02,Comprehensive,3.5967267918533814
EN300-7574488,C[C@@H](O)CCI,200.02,Comprehensive,3.574738234590136
